a,p,e,u,w,Edot,Ldot,EdotH,EdotI,LdotH,LdotI,timing,job
0.99,1.4545979455423286,1.521779678255456e-08,0.0002467198171342,0.0002467198171342,0.09173525127562933,0.25175297450042017,-0.008716057450658631,0.100451308726288,-0.02391984933389291,0.27567282383431324,12.288459587842226,43.0
0.99,1.4545985350053592,1.2310203817089112e-06,0.0002467198171342,0.002219017698460002,0.0917351768751964,0.25175286804687846,-0.008716050579542056,0.10045122745473856,-0.02391983976252068,0.2756727078093993,15.642860529012978,49.0
0.99,1.4546025314274242,9.473640599817928e-06,0.0002467198171342,0.006155829702431115,0.0917347395602428,0.2517523064372205,-0.00871600675335701,0.10045074631359979,-0.023919780157363634,0.27567208659458386,22.305785851553082,48.0
0.99,1.4546155155152833,3.625045627663018e-05,0.0002467198171342,0.012041619030626283,0.09173346420448213,0.251750656881577,-0.008715879720366929,0.10044934392484915,-0.023919607351128993,0.27567026423270585,38.95576315559447,46.0
0.99,1.4546457268880462,9.853780241412472e-05,0.0002467198171342,0.019853157161528467,0.09173116315276043,0.25174769990201357,-0.00871564896949074,0.10044681212225111,-0.023919293126137553,0.2756669930281504,49.614910803735256,45.0
0.99,1.4547039178862642,0.00021844457983667014,0.0002467198171342,0.029559615522887273,0.09172823826127395,0.2517439284247056,-0.008715355718001135,0.10044359397927499,-0.023918892621574105,0.2756628210462807,71.17009584102198,44.0
0.99,1.4548031766304843,0.00042277245416335376,0.0002467198171342,0.04112268715800943,0.09172568510852484,0.25174062876102615,-0.008715097612322255,0.10044078272084703,-0.023918536366289978,0.275659165127315,86.23769443598576,42.0
0.99,1.4549587323067337,0.0007424799406819084,0.0002467198171342,0.05449673790581605,0.0917248021588565,0.2517393718913653,-0.008715007202842375,0.10043980936169913,-0.023918398661751855,0.27565777055311763,100.16239914414473,47.0
0.99,1.4551877560169255,0.0012120592737200268,0.0002467198171342,0.06962898649802818,0.0917273614835732,0.25174263678334347,-0.008715240373472604,0.10044260185704572,-0.023918680472474786,0.2756613172558176,129.94076886866242,41.0
0.99,1.455509169233213,0.0018688364200305702,0.0002467198171342,0.08645971286271908,0.09173499018238851,0.25175217739664846,-0.008715968627427156,0.10045095880981572,-0.02391959428184961,0.27567177167849827,193.10975104902172,39.0
