a,p,e,u,w,Edot,Ldot,EdotH,EdotI,LdotH,LdotI,timing,job
0.99,1.4545979455423286,1.521779678255456e-08,0.0002467198171342,0.0002467198171342,0.09173525213768487,0.25175297686619597,-0.008716057452561595,0.1004513095902465,-0.023919849339115288,0.27567282620531125,35.72021156735718,43.0
0.99,1.4545985350053592,1.2310203817089112e-06,0.0002467198171342,0.002219017698460002,0.09173518109203704,0.25175287961933673,-0.008716050581456736,0.10045123167349382,-0.023919839767775213,0.27567271938711185,48.2314628791064,49.0
0.99,1.4546025314274242,9.473640599817928e-06,0.0002467198171342,0.006155829702431115,0.0917347433456388,0.2517523168260271,-0.008716006756975777,0.1004507501026146,-0.023919780167294964,0.27567209699332196,59.6960917878896,48.0
0.99,1.4546155155152833,3.625045627663018e-05,0.0002467198171342,0.012041619030626283,0.09173347489779463,0.2517506862233106,-0.008715879723887446,0.10044935462168221,-0.02391960736078849,0.2756702935840986,81.65781577606685,46.0
0.99,1.4546457268880462,9.853780241412472e-05,0.0002467198171342,0.019853157161528467,0.09173117252208107,0.25174772562163766,-0.008715649008307588,0.10044682153038843,-0.0239192932331807,0.2756670188548175,239.81387568172067,45.0
0.99,1.4547039178862642,0.00021844457983667014,0.0002467198171342,0.029559615522887273,0.09172825301250798,0.2517439689122243,-0.008715355823070191,0.10044360883557812,-0.023918892909514593,0.2756628618217394,187.21775708999485,44.0
0.99,1.4548031766304843,0.00042277245416335376,0.0002467198171342,0.04112268715800943,0.09172570174285563,0.25174067443920606,-0.008715097640310764,0.10044079938316626,-0.023918536443621474,0.27565921088282674,194.55617555510253,42.0
0.99,1.4549587323067337,0.0007424799406819084,0.0002467198171342,0.05449673790581605,0.09172487568915154,0.25173957371266503,-0.008715007269712126,0.10043988295886407,-0.02391839884494133,0.27565797255760666,275.9584209159948,47.0
0.99,1.4551877560169255,0.0012120592737200268,0.0002467198171342,0.06962898649802818,0.09172738708904474,0.2517427071350095,-0.00871524040090003,0.10044262748994465,-0.023918680548074358,0.27566138768308296,317.29124299099203,41.0
0.99,1.455509169233213,0.0018688364200305702,0.0002467198171342,0.08645971286271908,0.09173505749892896,0.251752362203279,-0.00871596868317798,0.10045102618210693,-0.02391959443394644,0.27567195663722494,324.459498193115,39.0
0.99,1.455943468886827,0.002752205891151128,0.0002467198171342,0.1049224938121548,0.09174987075094343,0.2517709972812462,-0.008717372720230172,0.10046724347117343,-0.023921351507080954,0.275692348788327,776.4309766450897,40.0
0.99,1.4565125735228162,0.003902813118906499,0.0002467198171342,0.1249444651847702,0.09177391764624113,0.25180115539516923,-0.008719633422323103,0.10049355106856409,-0.02392414325536224,0.2757252986505315,1075.3494565659203,38.0
0.99,1.4572396890700952,0.0053616980633826895,0.0002467198171342,0.14644660940672627,0.0918093305728603,0.2518453646781963,-0.008722921770307854,0.10053225234316848,-0.023928121020507495,0.2757734856987072,1023.2103363489732,37.0
0.99,1.4581491861151135,0.0071694144092293525,0.0002467198171342,0.1693440673381741,0.09185820805463486,0.2519060225545121,-0.008727387457814324,0.10058559551244971,-0.023933373405167817,0.2758393959596779,587.9083796709892,36.0
0.99,1.4592664738134966,0.009365139162920859,0.0002467198171342,0.1935464731735118,0.09192253881931042,0.2519852863187885,-0.008733147099455133,0.10065568591876523,-0.02393990330535391,0.2759251896241389,644.6469424888492,35.0
0.99,1.4606178495484368,0.011985787683137109,0.0002467198171342,0.2189583110739347,0.09200411924793349,0.2520849495201198,-0.008740272775791735,0.10074439202372525,-0.023947606385327055,0.27603255590545006,748.2288375790231,34.0
0.99,1.4622302990364655,0.01506514915498343,0.0002467198171342,0.24547929212481434,0.09210448447243509,0.25220635616013404,-0.008748781785757923,0.10085326625819371,-0.023956253073571503,0.27616260923370434,882.1677806368098,33.0
0.99,1.4641312196431442,0.018633057256438025,0.0002467198171342,0.2730047501302266,0.09222484158540144,0.25235031679190595,-0.008758628527411565,0.1009834701128132,-0.02396547626161147,0.2763157930535181,1072.2186183559825,25.0
0.99,1.466348040903071,0.022714610266096582,0.0002467198171342,0.3014260546826097,0.09236601854753257,0.25251705973228583,-0.008769699371525086,0.10113571791905822,-0.02397476670301193,0.27649182643529785,1076.319756262994,7.0
0.99,1.4689077210754968,0.027329454132630698,0.0002467198171342,0.3306310398773543,0.09252843138627978,0.2527062204432437,-0.008781811296813831,0.1013102426830929,-0.023983477816023547,0.27668969825927064,1505.4038779640105,16.0
0.99,1.4718361069671893,0.03249114107967995,0.0002467198171342,0.36050444698038536,0.0927120693271285,0.25291686396864627,-0.008794714822484619,0.101506784149614,-0.023990840931562486,0.2769077049002092,1385.6811914540012,32.0
0.99,1.4751571559382168,0.038206575169904194,0.0002467198171342,0.39092837930172875,0.09291650058654893,0.25314754521079136,-0.008808101454263991,0.10172460204081259,-0.02399599118921371,0.27714353640000905,1560.606466639787,31.0
0.99,1.4788920327476915,0.04447555491660593,0.0002467198171342,0.4217827674798846,0.0931408999573502,0.2533964073396929,-0.008821615498193077,0.10196251545554451,-0.023998003321411488,0.2773944106611003,1790.1103593810112,30.0
0.99,1.4830581086106227,0.05129042153160966,0.0002467198171342,0.45294584334074284,0.09338409038773963,0.2536612963574311,-0.008834869661691893,0.10221896004943168,-0.02399593548937487,0.27765723184680363,2824.528318424709,29.0
0.99,1.4876679036200742,0.058635819757484185,0.0002467198171342,0.48429462046093585,0.0936446001274383,0.2539398964149525,-0.008847463461364176,0.10249206358880313,-0.02398887836884712,0.2779287747837999,2898.8497899398208,28.0
0.99,1.492728024901398,0.06648857647649083,0.0002467198171342,0.5157053795390641,0.09392072402156133,0.2542298565723252,-0.00885900314898052,0.10277972717054167,-0.023976006006402883,0.27820586257872976,3776.14749726397,24.0
