a,p,e,u,w,Edot,Ldot,EdotH,EdotI,LdotH,LdotI,timing,job
0.99,1.4545979380596716,0.0,0.0,0.0,0.09173524785738753,0.2517529642211207,-0.00871605734717047,0.10045130520455807,-0.02391984896451916,0.27567281318563985,10.031206595995172,954.0
0.99,1.4546484364826295,0.00010412328196584754,0.0,0.02040816326530612,0.09173098984922469,0.2517474769757326,-0.008715631626570793,0.10044662147579536,-0.02391926953777201,0.27566674651350487,73.37801023945212,952.0
0.99,1.4548001243050086,0.00041649312786339016,0.0,0.04081632653061224,0.09172573430273268,0.25174069396904525,-0.008715102550847509,0.10044083685358018,-0.023918543293176216,0.2756592372622214,82.68238624371588,945.0
0.99,1.4550535782406269,0.000937109537692628,0.0,0.061224489795918366,0.09172547490445856,0.2517402618332948,-0.00871506386200342,0.10044053876646213,-0.023918462942311036,0.27565872477560616,252.33734695240855,939.0
0.99,1.455409756326747,0.0016659725114535606,0.0,0.08163265306122448,0.0917322628334532,0.25174878013973073,-0.00871570708275476,0.10044796991620798,-0.023919265615262145,0.27566804575499254,300.4424782311544,928.0
0.99,1.4558699932066224,0.0026030820491461893,0.0,0.10204081632653061,0.09174705763185145,0.2517673962728339,-0.008717110842814738,0.10046416847466594,-0.023921025017125133,0.2756884212899595,342.0935831964016,918.0
0.99,1.4564359935479592,0.003748438150770512,0.0,0.12244897959183673,0.09177039449934732,0.25179665288433106,-0.008719309341443524,0.10048970384079052,-0.023923745918698197,0.2757203988030295,283.25683710351586,910.0
0.99,1.4571098236211038,0.00510204081632653,0.0,0.14285714285714285,0.09180265209971056,0.25183694801572387,-0.00872231111119548,0.10052496321090623,-0.023927389535472268,0.27576433755119584,331.69757283478975,897.0
0.99,1.4578939010687666,0.006663890045814243,0.0,0.16326530612244897,0.09184404343686275,0.25188840173046306,-0.008726106508000415,0.10057014994486332,-0.02393188386980555,0.2758202856002699,265.86292530799983,882.0
0.99,1.4587909829082621,0.008433985839233653,0.0,0.1836734693877551,0.09189466136050582,0.2519509280304362,-0.008730671998244162,0.10062533335875018,-0.023937130491938755,0.27588805852237464,319.0684330333024,869.0
0.99,1.4598041518168217,0.010412328196584757,0.0,0.20408163265306123,0.09195452955342605,0.2520243453876362,-0.008735971946186465,0.10069050149961274,-0.023943006725174836,0.2759673521128111,316.0664659879403,856.0
0.99,1.4609368007618644,0.012598917117867555,0.0,0.22448979591836735,0.09202371087762128,0.2521086557035133,-0.008741960812406115,0.10076567169002697,-0.0239493699594497,0.27605802566296184,339.23027351871133,843.0
0.99,1.4621926160497647,0.014993752603082049,0.0,0.24489795918367346,0.0921020362444466,0.252203286678454,-0.008748584068711316,0.1008506203131581,-0.02395605909509232,0.27615934577354695,507.34195458097383,826.0
0.99,1.4635755588796318,0.01759683465222824,0.0,0.2653061224489796,0.09218945264293321,0.2523080398034897,-0.008755779276455313,0.10094523191938844,-0.0239628967549216,0.2762709365584119,717.8730251020752,807.0
0.99,1.4650898455023647,0.02040816326530612,0.0,0.2857142857142857,0.09228580495752245,0.25242248400049344,-0.008763477189434817,0.10104928214695626,-0.023969691763032507,0.27639217576352554,500.2741061998531,789.0
0.99,1.4667399260978464,0.0234277384423157,0.0,0.30612244897959184,0.09239087645688915,0.25254606063766216,-0.008771602332895995,0.10116247878978496,-0.02397624036154488,0.2765223009992052,483.31143660098314,772.0
0.99,1.4685304625084288,0.02665556018325697,0.0,0.32653061224489793,0.09250450781071987,0.2526784075138411,-0.008780074157118829,0.10128458196783909,-0.023982329033226665,0.2766607365470664,482.8868016116321,756.0
0.99,1.4704663049471234,0.030091628488129945,0.0,0.3469387755102041,0.09262644935257647,0.252818949403522,-0.008788807591148607,0.10141525694372545,-0.023987735804469962,0.27680668520799345,655.4206163480412,734.0
0.99,1.4725524678744966,0.03373594335693461,0.0,0.3673469387755102,0.09275645947022956,0.2529671629003087,-0.008797713978773032,0.10155417344900292,-0.02399223256823675,0.2769593954685447,697.2511100789998,714.0
0.99,1.4747941051844222,0.03758850478967097,0.0,0.3877551020408163,0.09289428932754668,0.25312253322378553,-0.008806701880481693,0.1017009912080274,-0.023995587091097868,0.27711812031488436,604.7356243506074,697.0
0.99,1.477196484894807,0.04164931278633903,0.0,0.40816326530612246,0.09303969709982511,0.25328459109482665,-0.008815677888797394,0.10185537498862283,-0.023997565061431563,0.2772821561562568,657.6363278515637,676.0
0.99,1.4797649635333243,0.04591836734693877,0.0,0.42857142857142855,0.09319240399362366,0.25345278629106943,-0.008824547467900856,0.10201695146152502,-0.023997932210313457,0.2774507185013837,732.3181221160048,652.0
0.99,1.4825049604185963,0.05039566847147022,0.0,0.4489795918367347,0.09335215104843601,0.2536266424739162,-0.008833215657677845,0.10218536670611336,-0.0239964560536192,0.2776230985275421,944.6978267638478,634.0
